2020-12-15 14:12:859 INFO  HomePage :19 - Click on Last Minute Deals : " + _lastMinuteDeals.toString()
2020-12-15 14:12:120 INFO  LastMinuteDealPage :19 - Click on Computer And Software : " +  _computersAndSoftware.toString()
2020-12-15 14:12:103 INFO  ComputerAndSoftwarePage :21 - Click on Sortby : " + _sortby.toString()
2020-12-15 14:12:727 INFO  HomePage :19 - Click on Last Minute Deals : [[ChromeDriver: chrome on WINDOWS (57eb6fc55dc58a4faf1d88a8182d3181)] -> xpath: //a[contains(text(),'Last Minute Deals')]]
2020-12-15 14:12:420 INFO  LastMinuteDealPage :19 - Click on Computer And Software : [[ChromeDriver: chrome on WINDOWS (57eb6fc55dc58a4faf1d88a8182d3181)] -> xpath: //div[@data-value ='Q4COMP']]
2020-12-15 14:12:914 INFO  ComputerAndSoftwarePage :21 - Click on Sortby : [[ChromeDriver: chrome on WINDOWS (57eb6fc55dc58a4faf1d88a8182d3181)] -> xpath: //span[contains(text(),'Featured')]]
2020-12-15 14:12:107 INFO  HomePage :19 - Click on Last Minute Deals : [[ChromeDriver: chrome on WINDOWS (c3d061e2c8e506455b8e70441ea1fc55)] -> xpath: //a[contains(text(),'Last Minute Deals')]]
2020-12-15 14:12:455 INFO  LastMinuteDealPage :19 - Click on Computer And Software : [[ChromeDriver: chrome on WINDOWS (c3d061e2c8e506455b8e70441ea1fc55)] -> xpath: //div[@data-value ='Q4COMP']]
2020-12-15 14:12:274 INFO  ComputerAndSoftwarePage :21 - Click on Sortby : [[ChromeDriver: chrome on WINDOWS (c3d061e2c8e506455b8e70441ea1fc55)] -> xpath: //span[contains(text(),'Feature')]]
2020-12-15 14:12:690 INFO  HomePage :19 - Click on Last Minute Deals : [[ChromeDriver: chrome on WINDOWS (a220cd95184ea2d2d11e9497f298c085)] -> xpath: //a[contains(text(),'Last Minute Deals')]]
2020-12-15 14:12:166 INFO  LastMinuteDealPage :19 - Click on Computer And Software : [[ChromeDriver: chrome on WINDOWS (a220cd95184ea2d2d11e9497f298c085)] -> xpath: //div[@data-value ='Q4COMP']]
2020-12-15 14:12:794 INFO  ComputerAndSoftwarePage :21 - Click on Sortby : Proxy element for: DefaultElementLocator 'By.xpath: //span[contains(text(),'Mastana')]'
2020-12-15 14:12:164 INFO  HomePage :19 - Click on Last Minute Deals : [[ChromeDriver: chrome on WINDOWS (d0f6a0bb003cfaee95ed8e5145aaa4c8)] -> xpath: //a[contains(text(),'Last Minute Deals')]]
2020-12-15 14:12:144 INFO  LastMinuteDealPage :19 - Click on Computer And Software : Proxy element for: DefaultElementLocator 'By.xpath: //div[@data-value ='Q4CO']'
2020-12-15 15:12:294 INFO  HomePage :19 - Click on Last Minute Deals : [[ChromeDriver: chrome on WINDOWS (fc3fb2beaf1857fbee79a8a50fe75cec)] -> xpath: //a[contains(text(),'Last Minute Deals')]]
2020-12-15 15:12:659 INFO  LastMinuteDealPage :19 - Click on Computer And Software : Proxy element for: DefaultElementLocator 'By.xpath: //div[@data-value ='Q4CO']'
2020-12-15 15:12:548 INFO  HomePage :19 - Click on Last Minute Deals : [[ChromeDriver: chrome on WINDOWS (1d845c0c0d3d5afc92f8c5cad6af997f)] -> xpath: //a[contains(text(),'Last Minute Deals')]]
2020-12-15 15:12:974 INFO  LastMinuteDealPage :19 - Click on Computer And Software : Proxy element for: DefaultElementLocator 'By.xpath: //div[@data-value ='Q4CO']'
2020-12-16 00:12:372 INFO  HomePage :19 - Click on Last Minute Deals : [[ChromeDriver: chrome on WINDOWS (cd8fa6421b5614242cd2693838561df5)] -> xpath: //a[contains(text(),'Last Minute Deals')]]
2020-12-16 00:12:617 INFO  LastMinuteDealPage :27 - Get Text from Last Minute Deals Page : [[ChromeDriver: chrome on WINDOWS (cd8fa6421b5614242cd2693838561df5)] -> xpath: //img[@alt = 'Last Minute Christmas Deals']]
2020-12-16 01:12:439 INFO  HomePage :19 - Click on Last Minute Deals : [[ChromeDriver: chrome on WINDOWS (37e447351564c52fba7a5829d3bf1bcc)] -> xpath: //a[contains(text(),'Last Minute Deals')]]
2020-12-16 01:12:809 INFO  LastMinuteDealPage :27 - Get Text from Last Minute Deals Page : [[ChromeDriver: chrome on WINDOWS (37e447351564c52fba7a5829d3bf1bcc)] -> xpath: //img[@alt = 'Last Minute Christmas Deals']]
2020-12-16 01:12:918 INFO  LastMinuteDealPage :22 - Click on Computer And Software : [[ChromeDriver: chrome on WINDOWS (37e447351564c52fba7a5829d3bf1bcc)] -> xpath: //div[@data-value ='Q4COMP']]
2020-12-16 01:12:497 INFO  ComputerAndSoftwarePage :57 - Get text from Deals On Computer And Software : [[ChromeDriver: chrome on WINDOWS (37e447351564c52fba7a5829d3bf1bcc)] -> xpath: //h1[contains(text(),'Deals on Computers and Software')]]
2020-12-16 01:12:17 INFO  ComputerAndSoftwarePage :40 - Click on Sortby : [[ChromeDriver: chrome on WINDOWS (37e447351564c52fba7a5829d3bf1bcc)] -> xpath: //span[contains(text(),'Featured')]]
2020-12-16 01:12:261 INFO  ComputerAndSoftwarePage :51 - select from dropdown : [[ChromeDriver: chrome on WINDOWS (37e447351564c52fba7a5829d3bf1bcc)] -> xpath: //ul[@class = 'a-nostyle a-list-link']/child::li/a]
2020-12-16 01:12:281 INFO  HomePage :19 - Click on Last Minute Deals : [[ChromeDriver: chrome on WINDOWS (5812a07120ef76d6307c8878d28f1f19)] -> xpath: //a[contains(text(),'Last Minute Deals')]]
2020-12-16 01:12:282 INFO  LastMinuteDealPage :27 - Get Text from Last Minute Deals Page : [[ChromeDriver: chrome on WINDOWS (5812a07120ef76d6307c8878d28f1f19)] -> xpath: //img[@alt = 'Last Minute Christmas Deals']]
2020-12-16 01:12:557 INFO  LastMinuteDealPage :22 - Click on Computer And Software : [[ChromeDriver: chrome on WINDOWS (5812a07120ef76d6307c8878d28f1f19)] -> xpath: //div[@data-value ='Q4COMP']]
2020-12-16 01:12:344 INFO  ComputerAndSoftwarePage :57 - Get text from Deals On Computer And Software : [[ChromeDriver: chrome on WINDOWS (5812a07120ef76d6307c8878d28f1f19)] -> xpath: //h1[contains(text(),'Deals on Computers and Software')]]
2020-12-16 01:12:462 INFO  ComputerAndSoftwarePage :40 - Click on Sortby : [[ChromeDriver: chrome on WINDOWS (5812a07120ef76d6307c8878d28f1f19)] -> xpath: //span[contains(text(),'Featured')]]
2020-12-16 01:12:710 INFO  ComputerAndSoftwarePage :51 - select from dropdown : [[ChromeDriver: chrome on WINDOWS (5812a07120ef76d6307c8878d28f1f19)] -> xpath: //ul[@class = 'a-nostyle a-list-link']/child::li/a]
2020-12-16 01:12:107 INFO  HomePage :19 - Click on Last Minute Deals : [[ChromeDriver: chrome on WINDOWS (e5d3fb8fec218b7da30da1653002ce61)] -> xpath: //a[contains(text(),'Last Minute Deals')]]
2020-12-16 01:12:290 INFO  LastMinuteDealPage :27 - Get Text from Last Minute Deals Page : [[ChromeDriver: chrome on WINDOWS (e5d3fb8fec218b7da30da1653002ce61)] -> xpath: //img[@alt = 'Last Minute Christmas Deals']]
2020-12-16 01:12:429 INFO  LastMinuteDealPage :22 - Click on Computer And Software : [[ChromeDriver: chrome on WINDOWS (e5d3fb8fec218b7da30da1653002ce61)] -> xpath: //div[@data-value ='Q4COMP']]
2020-12-16 01:12:221 INFO  ComputerAndSoftwarePage :57 - Get text from Deals On Computer And Software : [[ChromeDriver: chrome on WINDOWS (e5d3fb8fec218b7da30da1653002ce61)] -> xpath: //h1[contains(text(),'Deals on Computers and Software')]]
2020-12-16 01:12:295 INFO  ComputerAndSoftwarePage :40 - Click on Sortby : [[ChromeDriver: chrome on WINDOWS (e5d3fb8fec218b7da30da1653002ce61)] -> xpath: //span[contains(text(),'Featured')]]
2020-12-16 01:12:554 INFO  ComputerAndSoftwarePage :51 - select from dropdown : [[ChromeDriver: chrome on WINDOWS (e5d3fb8fec218b7da30da1653002ce61)] -> xpath: //ul[@class = 'a-nostyle a-list-link']/child::li/a]
2020-12-16 02:12:640 INFO  HomePage :19 - Click on Last Minute Deals : [[ChromeDriver: chrome on WINDOWS (4e298759440e7ce9ab6beddd3ed00415)] -> xpath: //a[contains(text(),'Last Minute Deals')]]
2020-12-16 02:12:21 INFO  LastMinuteDealPage :27 - Get Text from Last Minute Deals Page : [[ChromeDriver: chrome on WINDOWS (4e298759440e7ce9ab6beddd3ed00415)] -> xpath: //img[@alt = 'Last Minute Christmas Deals']]
2020-12-16 02:12:145 INFO  LastMinuteDealPage :22 - Click on Computer And Software : [[ChromeDriver: chrome on WINDOWS (4e298759440e7ce9ab6beddd3ed00415)] -> xpath: //div[@data-value ='Q4COMP']]
2020-12-16 02:12:121 INFO  ComputerAndSoftwarePage :63 - Get text from Deals On Computer And Software : [[ChromeDriver: chrome on WINDOWS (4e298759440e7ce9ab6beddd3ed00415)] -> xpath: //h1[contains(text(),'Deals on Computers and Software')]]
2020-12-16 02:12:273 INFO  ComputerAndSoftwarePage :45 - Click on Sortby : [[ChromeDriver: chrome on WINDOWS (4e298759440e7ce9ab6beddd3ed00415)] -> xpath: //span[contains(text(),'Featured')]]
2020-12-16 02:12:531 INFO  ComputerAndSoftwarePage :56 - select from dropdown : [[ChromeDriver: chrome on WINDOWS (4e298759440e7ce9ab6beddd3ed00415)] -> xpath: //ul[@class = 'a-nostyle a-list-link']/child::li/a]
