2020-12-17 01:12:912 INFO  BasePage :30 - Launching Chrome Browser
2020-12-17 01:12:885 INFO  HomePage :25 - Click on Last Minute Deals : [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //a[contains(text(),'Last Minute Deals')]]
2020-12-17 01:12:299 INFO  LastMinuteDealPage :27 - Get Text from Last Minute Deals Page : [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //img[@alt = 'Last Minute Christmas Deals']]
2020-12-17 01:12:432 INFO  LastMinuteDealPage :22 - Click on Computer And Software : [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //div[@data-value ='Q4COMP']]
2020-12-17 01:12:369 INFO  HomePage :49 - Get text from Deals On Computer And Software : [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //h1[contains(text(),'Deals on Computers and Software')]]
2020-12-17 01:12:464 INFO  HomePage :35 - Click on Sortby : [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[contains(text(),'Featured')]]
2020-12-17 01:12:667 INFO  HomePage :42 - select from dropdown : [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //ul[@class = 'a-nostyle a-list-link']/child::li/a]
2020-12-17 01:12:848 INFO  HomePage :55 - Verify Product Arranged in Order : [[[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']], [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']], [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']], [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']], [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']], [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']], [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']], [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']], [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']], [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']], [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']], [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']], [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']], [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']], [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']], [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']], [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']], [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']], [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']], [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']], [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']], [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']], [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']], [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']], [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']], [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']], [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']], [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']], [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']], [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']], [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']], [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']], [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']], [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']], [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']], [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']], [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']], [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']], [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']], [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']], [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']], [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']], [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']], [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']], [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']], [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']], [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']], [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']], [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']], [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']], [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']], [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']], [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']], [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']], [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']], [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']], [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']], [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']], [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']], [[ChromeDriver: chrome on WINDOWS (d968c783d83bf69a572892cea78dbfd8)] -> xpath: //span[@class = 'gb-font-size-medium inlineBlock unitLineHeight dealPriceText']]]
2020-12-17 02:12:236 INFO  BasePage :30 - Launching Chrome Browser
2020-12-17 02:12:315 INFO  HomePage :32 - Mouse hover on Hello Sign In : [[ChromeDriver: chrome on WINDOWS (94ea8407cb5929fee6f60297414f6d96)] -> xpath: //a[@id='nav-link-accountList']]
2020-12-17 02:12:574 INFO  HomePage :38 - Click on new customer start here : [[ChromeDriver: chrome on WINDOWS (94ea8407cb5929fee6f60297414f6d96)] -> xpath: //a[contains(text(),'Start here.')]]
